Start Time,End Time,Product Type,Station,Scrap Used,Time
9/28/20 8:11:28,9/28/20 8:16:03,B22,Assemble_1,FALSO,4.583333336
9/28/20 8:16:14,9/28/20 8:20:17,B22,Assemble_1,FALSO,4.050000004
9/28/20 8:21:07,9/28/20 8:25:40,B22,Assemble_1,FALSO,4.549999995
9/28/20 8:27:28,9/28/20 8:32:04,B22,Assemble_1,FALSO,4.599999996
9/28/20 8:37:50,9/28/20 8:42:25,B22,Assemble_1,FALSO,4.583333326
9/28/20 8:45:20,9/28/20 8:49:21,B22,Assemble_1,FALSO,4.016666673
9/28/20 8:49:37,9/28/20 8:53:45,B22,Assemble_1,FALSO,4.133333325
9/28/20 8:57:05,9/28/20 9:01:18,B22,Assemble_1,FALSO,4.216666667
9/28/20 9:03:11,9/28/20 9:07:42,B22,Assemble_1,FALSO,4.516666664
9/28/20 9:08:01,,B22,Assemble_1,,-63507428.02
9/29/20 8:15:47,9/29/20 8:20:23,B22,Assemble_1,FALSO,4.599999996
9/29/20 8:22:19,9/29/20 8:26:40,B22,Assemble_1,FALSO,4.350000001
9/29/20 8:26:46,9/29/20 8:30:58,B22,Assemble_1,FALSO,4.200000007
9/29/20 8:31:12,9/29/20 8:35:41,B22,Assemble_1,FALSO,4.483333334
9/29/20 8:37:01,9/29/20 8:40:43,B22,Assemble_1,FALSO,3.699999995
9/29/20 8:47:28,9/29/20 8:51:51,B22,Assemble_1,FALSO,4.383333331
9/29/20 8:54:05,9/29/20 8:58:31,B22,Assemble_1,FALSO,4.433333332
9/29/20 9:00:02,9/29/20 9:04:08,B22,Assemble_1,FALSO,4.100000005
9/29/20 9:07:04,9/29/20 9:11:25,B22,Assemble_1,FALSO,4.350000001
9/30/20 9:06:40,9/30/20 9:10:46,B22,Assemble_1,FALSO,4.100000005
9/30/20 9:10:50,9/30/20 9:15:10,B22,Assemble_1,FALSO,4.33333334
9/30/20 9:15:14,9/30/20 9:19:58,B22,Assemble_1,FALSO,4.73333334
9/30/20 9:20:02,9/30/20 9:24:30,B22,Assemble_1,FALSO,4.466666663
,10/1/20 8:04:39,B22,Assemble_1,FALSO,63511684.65
10/1/20 8:04:44,10/1/20 8:09:17,B22,Assemble_1,FALSO,4.550000005
10/1/20 8:15:21,10/1/20 8:19:15,B22,Assemble_1,FALSO,3.9
10/1/20 8:19:20,10/1/20 8:23:32,B22,Assemble_1,FALSO,4.200000007
10/1/20 8:29:24,10/1/20 8:34:06,B22,Assemble_1,FALSO,4.699999999
10/1/20 8:38:46,10/1/20 8:42:57,B22,Assemble_1,FALSO,4.183333326
10/1/20 8:43:02,10/1/20 8:47:15,B22,Assemble_1,FALSO,4.216666657
10/1/20 8:47:19,10/1/20 8:51:30,B22,Assemble_1,FALSO,4.183333337
10/1/20 8:51:35,10/1/20 8:55:41,B22,Assemble_1,FALSO,4.099999995
